Epoch 1/30  Train 21.1810  Val 138.3898  CodeUsed 25.39%
Epoch 2/30  Train 18.6715  Val 114.6566  CodeUsed 26.56%
Epoch 3/30  Train 13.7866  Val 112.8754  CodeUsed 27.34%
Epoch 4/30  Train 13.6507  Val 111.7791  CodeUsed 30.47%
Epoch 5/30  Train 12.9418  Val 113.8161  CodeUsed 35.16%
Epoch 6/30  Train 13.0631  Val 114.1441  CodeUsed 41.41%
Epoch 7/30  Train 13.2224  Val 113.3969  CodeUsed 46.88%
Epoch 8/30  Train 12.5988  Val 113.8360  CodeUsed 51.56%
Epoch 9/30  Train 12.6472  Val 115.4776  CodeUsed 56.64%
Epoch 10/30  Train 13.2345  Val 110.0718  CodeUsed 61.72%
Epoch 11/30  Train 12.5740  Val 111.1448  CodeUsed 65.62%
Epoch 12/30  Train 12.5070  Val 113.4306  CodeUsed 71.09%
Epoch 13/30  Train 12.6219  Val 115.4175  CodeUsed 73.05%
Epoch 14/30  Train 13.8180  Val 109.6693  CodeUsed 75.78%
Epoch 15/30  Train 12.3762  Val 114.2651  CodeUsed 79.30%
Epoch 16/30  Train 11.6193  Val 109.6400  CodeUsed 80.86%
Epoch 17/30  Train 11.7056  Val 109.1092  CodeUsed 84.38%
Epoch 18/30  Train 11.0610  Val 110.8925  CodeUsed 87.11%
Epoch 19/30  Train 11.6504  Val 111.2021  CodeUsed 89.84%
Epoch 20/30  Train 11.1988  Val 108.6038  CodeUsed 92.19%
Epoch 21/30  Train 11.1736  Val 110.7376  CodeUsed 95.31%
Epoch 22/30  Train 10.8545  Val 115.8695  CodeUsed 98.05%
Epoch 23/30  Train 11.2485  Val 110.2549  CodeUsed 100.00%
Epoch 24/30  Train 11.0589  Val 106.4033  CodeUsed 100.00%
Epoch 25/30  Train 10.8246  Val 109.3745  CodeUsed 99.22%
Epoch 26/30  Train 11.2451  Val 108.7335  CodeUsed 99.61%
Epoch 27/30  Train 10.3839  Val 109.4398  CodeUsed 100.00%
Epoch 28/30  Train 11.3214  Val 111.5841  CodeUsed 99.22%
Epoch 29/30  Train 10.5067  Val 114.9329  CodeUsed 100.00%
Epoch 30/30  Train 11.3363  Val 112.5172  CodeUsed 100.00%
