Epoch 1/30, Train Loss: 81.9836, Val Loss: 30.6188
Epoch 2/30, Train Loss: 73.8384, Val Loss: 27.3612
Epoch 3/30, Train Loss: 66.7983, Val Loss: 26.8697
Epoch 4/30, Train Loss: 65.2865, Val Loss: 26.4533
Epoch 5/30, Train Loss: 64.3873, Val Loss: 26.0467
Epoch 6/30, Train Loss: 63.6812, Val Loss: 25.6419
Epoch 7/30, Train Loss: 63.0727, Val Loss: 25.2418
Epoch 8/30, Train Loss: 62.5331, Val Loss: 24.8472
Epoch 9/30, Train Loss: 62.0492, Val Loss: 24.4600
Epoch 10/30, Train Loss: 61.6077, Val Loss: 24.0800
Epoch 11/30, Train Loss: 61.2038, Val Loss: 23.7085
Epoch 12/30, Train Loss: 60.8202, Val Loss: 23.3464
Epoch 13/30, Train Loss: 60.4545, Val Loss: 22.9924
Epoch 14/30, Train Loss: 60.0864, Val Loss: 22.6449
Epoch 15/30, Train Loss: 59.7229, Val Loss: 22.3032
Epoch 16/30, Train Loss: 59.3591, Val Loss: 21.9674
Epoch 17/30, Train Loss: 58.9856, Val Loss: 21.6351
Epoch 18/30, Train Loss: 58.6101, Val Loss: 21.3072
Epoch 19/30, Train Loss: 58.2387, Val Loss: 20.9841
Epoch 20/30, Train Loss: 57.8610, Val Loss: 20.6664
Epoch 21/30, Train Loss: 57.4812, Val Loss: 20.3562
Epoch 22/30, Train Loss: 57.1059, Val Loss: 20.0550
Epoch 23/30, Train Loss: 56.7097, Val Loss: 19.7671
Epoch 24/30, Train Loss: 56.3248, Val Loss: 19.4955
Epoch 25/30, Train Loss: 55.9438, Val Loss: 19.2421
Epoch 26/30, Train Loss: 55.5619, Val Loss: 19.0123
Epoch 27/30, Train Loss: 55.1759, Val Loss: 18.8095
Epoch 28/30, Train Loss: 54.8093, Val Loss: 18.6355
Epoch 29/30, Train Loss: 54.4399, Val Loss: 18.4907
Epoch 30/30, Train Loss: 54.0744, Val Loss: 18.3727
