2025-05-19 01:10:47,705 INFO    MainThread:73928 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-19 01:10:47,706 INFO    MainThread:73928 [wandb_setup.py:_flush():70] Configure stats pid to 73928
2025-05-19 01:10:47,706 INFO    MainThread:73928 [wandb_setup.py:_flush():70] Loading settings from /Users/haochengyang/.config/wandb/settings
2025-05-19 01:10:47,706 INFO    MainThread:73928 [wandb_setup.py:_flush():70] Loading settings from /Users/haochengyang/Desktop/ts+text research/codes/InstructTime_replicate/wandb/settings
2025-05-19 01:10:47,706 INFO    MainThread:73928 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-19 01:10:47,706 INFO    MainThread:73928 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/haochengyang/Desktop/ts+text research/codes/InstructTime_replicate/wandb/run-20250519_011047-71ucx4ev/logs/debug.log
2025-05-19 01:10:47,707 INFO    MainThread:73928 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/haochengyang/Desktop/ts+text research/codes/InstructTime_replicate/wandb/run-20250519_011047-71ucx4ev/logs/debug-internal.log
2025-05-19 01:10:47,707 INFO    MainThread:73928 [wandb_init.py:init():852] calling init triggers
2025-05-19 01:10:47,707 INFO    MainThread:73928 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 30, 'lr': 0.001, 'batch_size': 64, 'device': 'cpu', 'smoke_test': True, '_wandb': {}}
2025-05-19 01:10:47,707 INFO    MainThread:73928 [wandb_init.py:init():893] starting backend
2025-05-19 01:10:47,707 INFO    MainThread:73928 [wandb_init.py:init():897] sending inform_init request
2025-05-19 01:10:47,727 INFO    MainThread:73928 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-05-19 01:10:47,727 INFO    MainThread:73928 [wandb_init.py:init():907] backend started and connected
2025-05-19 01:10:47,729 INFO    MainThread:73928 [wandb_init.py:init():1005] updated telemetry
2025-05-19 01:10:47,744 INFO    MainThread:73928 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-19 01:10:49,662 INFO    MainThread:73928 [wandb_init.py:init():1104] starting run threads in backend
2025-05-19 01:10:49,704 INFO    MainThread:73928 [wandb_run.py:_console_start():2573] atexit reg
2025-05-19 01:10:49,704 INFO    MainThread:73928 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-19 01:10:49,705 INFO    MainThread:73928 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-19 01:10:49,705 INFO    MainThread:73928 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-19 01:10:49,707 INFO    MainThread:73928 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-19 01:10:49,707 INFO    MainThread:73928 [wandb_watch.py:_watch():71] Watching
2025-05-19 01:11:09,099 INFO    MsgRouterThr:73928 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
